Neighborhood Name,Cluster Number
Mount Washington,1
Homeland,1
Fells Point,1
Cheswolde,1
Canton,1
Violetville,1
Canton,1
Canton,1
Hampden,1
Lauraville,1
Brooklyn,1
Lauraville,3
Medfield,1
Hampden,1
Hampden,1
South Baltimore,1
Morrell Park,1
Canton,1
Downtown,2
Woodberry,1
Morrell Park,1
Brooklyn,1
Frankford,3
Loch Raven,3
Beechfield,3
Frankford,3
Little Italy,2
Irvington,3
South Baltimore,1
Lakeland,3
Brooklyn,1
Pigtown,1
Remington,1
Downtown,2
Curtis Bay,1
Downtown,2
Downtown,2
Brooklyn,1
Hollins Market,2
Downtown,2
Pigtown,2
