Neighborhood Name,Cluster Number
Mount Washington/Coldspring,1
North Baltimore/Guilford/Homeland,1
Fells Point,1
Cross-Country/Cheswolde,1
Canton,1
Morrell Park/Violetville,1
Canton,1
Canton,1
Medfield/Hampden/Woodberry/Remington,1
Lauraville,1
Brooklyn/Curtis Bay/Hawkins Point,1
Lauraville,3
Medfield/Hampden/Woodberry/Remington,1
Medfield/Hampden/Woodberry/Remington,1
Medfield/Hampden/Woodberry/Remington,1
South Baltimore,1
Morrell Park/Violetville,1
Canton,1
Downtown/Seton Hill,2
Medfield/Hampden/Woodberry/Remington,1
Morrell Park/Violetville,1
Brooklyn/Curtis Bay/Hawkins Point,1
Cedonia/Frankford,3
Loch Raven,3
Beechfield/Ten Hills/West Hills,3
Cedonia/Frankford,3
Harbor East/Little Italy,2
Allendale/Irvington/S. Hilton,3
South Baltimore,1
Westport/Mount Winans/Lakeland,3
Brooklyn/Curtis Bay/Hawkins Point,1
Washington Village/Pigtown,1
Medfield/Hampden/Woodberry/Remington,1
Downtown/Seton Hill,2
Brooklyn/Curtis Bay/Hawkins Point,1
Downtown/Seton Hill,2
Downtown/Seton Hill,2
Brooklyn/Curtis Bay/Hawkins Point,1
Poppleton/The Terraces/Hollins Market,2
Downtown/Seton Hill,2
Washington Village/Pigtown,2
